imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0374900,Napoleon Dynamite,2004,Jared Hess,US,400000.0,45000000.0,Comedy,2004-06-11,,
tt0375063,Sideways,2004,Alexander Payne,US,16000000.0,72000000.0,"Comedy, Drama, Romance",2004-10-22,,
tt0375154,Tristan & Isolde,2006,Kevin Reynolds,US,-1.0,15000000.0,"Action, Adventure, Drama",2006-04-07,,
tt0375173,Alfie,2004,Charles Shyer,US,60000000.0,13000000.0,"Comedy, Drama, Romance",2004-10-22,,
tt0375210,White Noise,2005,Geoffrey Sax,US,10000000.0,56000000.0,"Drama, Horror, Mystery",2005-01-07,,
tt0375568,Astro Boy,2009,David Bowers,HK,65000000.0,20000000.0,"Animation, Action, Comedy",2009-10-15,,
tt0375611,Black,2005,Sanjay Leela Bhansali,IN,2387457.8878955883,755000.0,Drama,2005-02-04,,
tt0375679,Crash,2004,Paul Haggis,US,6500000.0,55000000.0,"Crime, Drama, Thriller",2004-09-10,,
tt0375912,Layer Cake,2004,Matthew Vaughn,US,4683840.74941452,2300000.0,"Action, Crime, Drama",2004-09-30,,
tt0375920,The Libertine,2004,Laurence Dunmore,US,-1.0,4800000.0,"Biography, Drama, History",2004-09-16,,
tt0376006,Book of Love,2004,Alan Brown,US,-1.0,-1.0,"Comedy, Drama",,,
tt0376136,The Rum Diary,2011,Bruce Robinson,GB,45000000.0,13000000.0,"Comedy, Drama",2011-10-13,119.0,6.2
tt0376479,American Pastoral,2016,Ewan McGregor,US,-1.0,544000.0,"Crime, Drama",2016-10-20,108.0,6.1
tt0376541,Closer,2004,Mike Nichols,US,27000000.0,34000000.0,"Drama, Romance",2004-12-01,,
tt0376968,The Return,2003,Andrey Zvyagintsev,RU,-1.0,504000.0,Drama,2003-06-25,,
tt0376994,X-Men: The Last Stand,2006,Brett Ratner,US,210000000.0,234000000.0,"Action, Sci-Fi",2006-05-24,,
